sample.id	brc	crop	microbiome_compartment	case_study	fertilization	drought	irrigation	drought_tolerance	genotype	site	cropping_system	plot	Year	Sampling Location	Replicate	Sampling Date	Nitrogen conc	Days after fertilization	Treatment	Line	Block	Harvest
X2044	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	9	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2045	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	9	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2046	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	12	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2047	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	12	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2048	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	12	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2049	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	13	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2050	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	13	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2051	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	13	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2052	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	14	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2053	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	14	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2054	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	14	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2055	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	17	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2056	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	17	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2057	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	17	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2058	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	18	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2059	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	18	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2060	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	18	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2061	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	19	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2062	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	19	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2063	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	19	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2064	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	22	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2065	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	22	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2066	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	22	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2067	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	24	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2068	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	24	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2069	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	24	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2070	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	25	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2071	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	25	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2072	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	25	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2073	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	27	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2074	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	27	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2075	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	27	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2076	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	28	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2077	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	28	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2078	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	28	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2079	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	30	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X2080	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	30	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X2081	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	30	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X2082	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	33	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2083	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	33	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2084	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	33	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2085	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	34	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2086	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	34	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2087	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	34	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2088	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	35	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2089	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	35	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2090	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	35	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2091	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	37	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2092	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	37	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2093	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	37	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2094	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	39	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2095	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	39	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2096	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	39	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2097	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	40	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2098	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	40	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2099	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	40	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2100	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	43	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X2101	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	43	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X2102	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	43	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X2103	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	44	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2104	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	44	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2105	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	44	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2106	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	45	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2107	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	45	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2108	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	45	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2109	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	33	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2110	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	33	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2111	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	33	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2112	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	34	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2113	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	34	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2114	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	34	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2115	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	35	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2116	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	35	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2117	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	35	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2118	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	37	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2119	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	37	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2120	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	37	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2121	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	39	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2122	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	39	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2123	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	39	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2124	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	40	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2125	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	40	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2126	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	40	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2127	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	43	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2128	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	43	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2129	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	43	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2130	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	44	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2131	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	44	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2132	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	44	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2133	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	45	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2134	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	45	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2135	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	45	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2136	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	46	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2137	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	46	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2138	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	46	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2139	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	48	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2140	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	48	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2141	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	48	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2142	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	50	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2143	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	50	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2144	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	50	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2145	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	53	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2146	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	53	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2147	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	53	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2148	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	54	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X2149	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	54	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X2150	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	54	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X2151	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	55	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2152	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	55	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2153	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	55	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2154	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	56	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2155	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	56	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2156	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	56	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2157	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	58	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2158	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	58	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2159	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	58	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2160	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	60	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2161	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	60	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2162	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	60	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2163	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	14	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
X2164	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	13	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
X2165	cabbi	Corn	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	12	2018	NA	NA	NA	200	-10	NA	NA	NA	NA
X2166	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	14	2017	NA	NA	NA	0	-10	NA	NA	NA	NA
X2167	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	13	2017	NA	NA	NA	400	-10	NA	NA	NA	NA
X2168	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	12	2017	NA	NA	NA	200	-10	NA	NA	NA	NA
X2169	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	7	2016	NA	NA	NA	0	-10	NA	NA	NA	NA
X2170	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	6	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
X2171	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	9	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
X2172	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	4	2015	NA	NA	NA	0	-10	NA	NA	NA	NA
X2173	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	3	2015	NA	NA	NA	400	-10	NA	NA	NA	NA
X2174	cabbi	Miscanthus	Rhizosphere	fertilization	Unfert	NA	NA	NA	NA	NA	NA	5	2015	NA	NA	NA	200	-10	NA	NA	NA	NA
X3001	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	3	2018	NA	NA	NA	300	5	NA	NA	NA	NA
X3002	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	3	2018	NA	NA	NA	300	5	NA	NA	NA	NA
X3003	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	4	2018	NA	NA	NA	0	5	NA	NA	NA	NA
X3004	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	4	2018	NA	NA	NA	0	5	NA	NA	NA	NA
X3005	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	5	2018	NA	NA	NA	200	5	NA	NA	NA	NA
X3006	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	5	2018	NA	NA	NA	200	5	NA	NA	NA	NA
X3007	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	6	2018	NA	NA	NA	300	5	NA	NA	NA	NA
X3008	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	6	2018	NA	NA	NA	300	5	NA	NA	NA	NA
X3009	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	7	2018	NA	NA	NA	0	5	NA	NA	NA	NA
X3010	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	7	2018	NA	NA	NA	0	5	NA	NA	NA	NA
X3011	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	9	2018	NA	NA	NA	200	5	NA	NA	NA	NA
X3012	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	9	2018	NA	NA	NA	200	5	NA	NA	NA	NA
X3013	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	12	2018	NA	NA	NA	200	5	NA	NA	NA	NA
X3014	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	12	2018	NA	NA	NA	200	5	NA	NA	NA	NA
X3015	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	13	2018	NA	NA	NA	300	5	NA	NA	NA	NA
X3016	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	13	2018	NA	NA	NA	300	5	NA	NA	NA	NA
X3017	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	14	2018	NA	NA	NA	0	5	NA	NA	NA	NA
X3018	cabbi	Corn	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	14	2018	NA	NA	NA	0	5	NA	NA	NA	NA
X3019	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	3	2015	NA	NA	NA	400	5	NA	NA	NA	NA
X3020	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	3	2015	NA	NA	NA	400	5	NA	NA	NA	NA
X3021	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	4	2015	NA	NA	NA	0	5	NA	NA	NA	NA
X3022	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	4	2015	NA	NA	NA	0	5	NA	NA	NA	NA
X3023	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	5	2015	NA	NA	NA	200	5	NA	NA	NA	NA
X3024	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	5	2015	NA	NA	NA	200	5	NA	NA	NA	NA
X3025	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	6	2016	NA	NA	NA	400	5	NA	NA	NA	NA
X3026	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	6	2016	NA	NA	NA	400	5	NA	NA	NA	NA
X3027	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	7	2016	NA	NA	NA	0	5	NA	NA	NA	NA
X3028	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	7	2016	NA	NA	NA	0	5	NA	NA	NA	NA
X3029	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	9	2016	NA	NA	NA	200	5	NA	NA	NA	NA
X3030	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	9	2016	NA	NA	NA	200	5	NA	NA	NA	NA
X3031	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	12	2017	NA	NA	NA	200	5	NA	NA	NA	NA
X3032	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	12	2017	NA	NA	NA	200	5	NA	NA	NA	NA
X3033	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	13	2017	NA	NA	NA	400	5	NA	NA	NA	NA
X3034	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	13	2017	NA	NA	NA	400	5	NA	NA	NA	NA
X3035	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	14	2017	NA	NA	NA	0	5	NA	NA	NA	NA
X3036	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	14	2017	NA	NA	NA	0	5	NA	NA	NA	NA
X3037	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	17	2016	NA	NA	NA	400	5	NA	NA	NA	NA
X3038	cabbi	Miscanthus	Rhizosphere	fertilization	Fert	NA	NA	NA	NA	NA	NA	17	2016	NA	NA	NA	400	5	NA	NA	NA	NA
